business_id,name,category,latitude,longitude,measurement_area,rating,review_count,price_level,is_open,success_score,env_sensitivity,env_bonus
BIZ_00001,Salon #1,salon,40.71416004118841,-74.00582725757279,Times Square Business District,4.1,51,2,True,0.76,0.5,0.05
BIZ_00002,Cafe #2,cafe,40.71263770418026,-74.0063073060509,Times Square Business District,4.7,81,2,True,0.885,0.9,0.09
BIZ_00003,Retail #3,retail,40.71395204938678,-74.0054764744445,Times Square Business District,3.6,42,2,True,0.669,0.6,0.06
BIZ_00004,Fitness #4,fitness,40.713293355155216,-74.00769086423405,Times Square Business District,4.2,148,3,True,0.857,0.7,0.07
BIZ_00005,Restaurant #5,restaurant,40.712357017963626,-74.00732709945196,Times Square Business District,4.3,78,2,True,0.819,0.8,0.08
BIZ_00006,Salon #6,salon,40.71307249436306,-74.00602392287264,Times Square Business District,3.9,56,2,True,0.739,0.5,0.05
BIZ_00007,Cafe #7,cafe,40.71300336097396,-74.00571662792679,Times Square Business District,3.9,51,2,True,0.732,0.9,0.09
BIZ_00008,Cafe #8,cafe,40.759682371060535,-73.985532140758,Central Park Commercial Zone,4.4,98,2,True,0.863,0.9,0.27
BIZ_00009,Retail #9,retail,40.757828973633465,-73.98322658715622,Central Park Commercial Zone,4.1,77,2,True,0.79,0.6,0.18
BIZ_00010,Bank #10,bank,40.758161872251996,-73.98487293841706,Central Park Commercial Zone,3.0,15,1,True,0.506,0.2,0.06
BIZ_00011,Cafe #11,cafe,40.759885265836864,-73.98625426376185,Central Park Commercial Zone,4.1,107,2,True,0.814,0.9,0.27
BIZ_00012,Restaurant #12,restaurant,40.75136344143329,-73.99342586563621,Broadway Theater District,3.9,72,2,True,0.756,0.8,-0.16
BIZ_00013,Pharmacy #13,pharmacy,40.750822618411185,-73.99334005326308,Broadway Theater District,3.8,21,1,True,0.65,0.3,-0.06
BIZ_00014,Restaurant #14,restaurant,40.75022456043865,-73.99336467341288,Broadway Theater District,3.5,90,2,True,0.714,0.8,-0.16
BIZ_00015,Cafe #15,cafe,40.750489862702295,-73.99161345861019,Broadway Theater District,3.8,66,2,True,0.734,0.9,-0.18
BIZ_00016,Restaurant #16,restaurant,40.749903381717075,-73.99246255613963,Broadway Theater District,3.9,107,2,True,0.79,0.8,-0.16
BIZ_00017,Retail #17,retail,40.7487703108585,-73.99353251047812,Broadway Theater District,3.7,56,2,True,0.715,0.6,-0.12
BIZ_00018,Pharmacy #18,pharmacy,40.75072538923028,-73.99214705610586,Broadway Theater District,4.0,28,1,True,0.71,0.3,-0.06
BIZ_00019,Restaurant #19,restaurant,40.73091915404097,-74.07795551589827,Financial District,4.0,129,2,False,0.811,0.8,0.24
BIZ_00020,Pharmacy #20,pharmacy,40.728329343424484,-74.07887726940771,Financial District,4.7,47,1,True,0.844,0.3,0.09
BIZ_00021,Cafe #21,cafe,40.72684716677634,-74.0778845301825,Financial District,4.5,116,2,True,0.888,0.9,0.27
BIZ_00022,Cafe #22,cafe,40.728341738875706,-74.07701598944288,Financial District,4.4,62,2,True,0.819,0.9,0.27
BIZ_00023,Restaurant #23,restaurant,40.72880136871059,-74.07840422429031,Financial District,4.4,88,2,True,0.847,0.8,0.24
BIZ_00024,Restaurant #24,restaurant,40.728988654298405,-74.07766912414965,Financial District,3.6,113,2,True,0.755,0.8,0.24
BIZ_00025,Cafe #25,cafe,40.7834826438314,-73.9713954337346,Upper East Side Commercial,4.0,72,2,True,0.767,0.9,0.09
BIZ_00026,Restaurant #26,restaurant,40.782804224436454,-73.97078904523669,Upper East Side Commercial,3.9,131,2,True,0.805,0.8,0.08
BIZ_00027,Cafe #27,cafe,40.78436764647563,-73.97172199989919,Upper East Side Commercial,4.6,76,2,True,0.861,0.9,0.09
BIZ_00028,Restaurant #28,restaurant,40.78452368616207,-73.9738608446213,Upper East Side Commercial,4.0,107,2,True,0.811,0.8,0.08
BIZ_00029,Retail #29,retail,40.78466349103823,-73.97083105023685,Upper East Side Commercial,3.7,56,2,True,0.707,0.6,0.06
BIZ_00030,Restaurant #30,restaurant,40.7841556766858,-73.97197398551134,Upper East Side Commercial,3.9,85,2,True,0.775,0.8,0.08
BIZ_00031,Salon #31,salon,40.78242421654328,-73.96921601690826,Upper East Side Commercial,4.3,71,2,False,0.811,0.5,0.05
